date,ret,ret_lag1,ret_sq_lag1,neg_ret_sq_lag1,RV_5_lag1,RV_10_lag1,RV_22_lag1,SPY_ret_lag1,OIL_ret_lag1,DXY_ret_lag1,vix_log_lag1,vix_log_diff_lag1
2004-02-06,0.013721058264253294,-0.0072581819686838855,5.2681205490527886e-05,5.2681205490527886e-05,0.007682710132505706,0.014622062501902882,0.012423713197211611,0.002919804231554579,-0.0006043107761484201,0.0006907469910437669,2.8741294000992386,-0.008993976035353679
2004-02-09,0.007897330564814453,0.013721058264253294,0.0001882674398910336,0.0,0.009175179894960455,0.015497893860063295,0.012915788785204588,0.011158855346272922,-0.018304424308039025,-0.010178261499813601,2.772588722239781,-0.10154067785945742
2004-02-10,-0.0009837529211740303,0.007897330564814453,6.236783004995257e-05,0.0,0.007813858929002911,0.01572347029293768,0.013090881454421529,0.00026207405961198305,0.010718286087556983,-0.00023249207704623132,2.796671355516472,0.024082633276691023
2004-02-11,0.009306994151231152,-0.0009837529211740303,9.67769809918438e-07,9.67769809918438e-07,0.00807184307658473,0.015452143538850622,0.013008770774225844,0.003226311887248201,0.03118684800662308,-0.0018622405931036923,2.768831647037307,-0.02783970847916528
2004-02-12,0.008496227577319715,0.009306994151231152,8.662014013105087e-05,0.0,0.008485231610246963,0.015323501294143182,0.013133123709186376,0.01056722754562589,0.0038308893222134266,-0.007483657643887476,2.733717970158959,-0.03511367687834799
2004-02-13,-0.00825253327766795,0.008496227577319715,7.218588304560803e-05,0.0,0.0053599273080809405,0.0075024398343243185,0.013312125527393292,-0.003625061767619009,-0.0005884218439375921,0.0010558270487885935,2.7285062370776063,-0.0052117330813525875
2004-02-17,0.0137966905646012,-0.00825253327766795,6.810430549901692e-05,6.810430549901692e-05,0.007681658625083722,0.008094167000642902,0.013356139041668477,-0.00450690695383571,0.016924880900059946,0.003160630614464921,2.7459880355456865,0.01748179846808018
2004-02-18,-0.008934050155567697,0.0137966905646012,0.00019034867053535577,0.0,0.008919086480740733,0.007908735007962228,0.01371930155629421,0.008992999171378635,0.01721208480487757,-0.006331372233172594,2.7343674846488217,-0.011620550896864756
2004-02-19,-0.006082004088674431,-0.008934050155567697,7.981725218219918e-05,7.981725218219918e-05,0.010671544424641763,0.00892776302062131,0.011971624914406655,-0.0044001299330700405,0.008214206022539194,0.010064457582356745,2.7466296928572342,0.012262208208412506
2004-02-20,-0.03047427192263452,-0.006082004088674431,3.6990773734652496e-05,3.6990773734652496e-05,0.010574219815771547,0.009376261424559372,0.012013469561453572,-0.003724412439741087,0.015395663956409233,0.0008147552937050051,2.7600099521047476,0.013380259247513404
