date,ret,ret_lag1,ret_sq_lag1,neg_ret_sq_lag1,RV_5_lag1,RV_10_lag1,RV_22_lag1,logvol_lag1,logvol_z22_lag1,absret_logvol_lag1,OIL_ret_lag1,GOLD_ret_lag1,DXY_ret_lag1,vix_log_lag1,vix_log_diff_lag1
2004-06-11,0.012053051575961149,0.0010627817072395018,1.1295049572429102e-06,0.0,0.013905683165464658,0.01761464703747694,0.0151173355438948,18.84101278944253,-1.2341176505795313,0.020023883738485022,-0.03547646097334711,-0.007899152113032493,-0.004619942158892165,2.8201877419595305,0.0793477180343296
2004-06-18,-0.0063161500861577125,0.012053051575961149,0.00014527605229277955,0.0,0.01220023873853478,0.014695656815776118,0.015171720688007944,18.627198041949065,-1.9098102003928221,0.2245145787152546,-0.001039795109489372,-0.012873504457642682,0.016466361357987402,2.710713315985326,-0.10947442597420443
2004-06-25,0.005489777750850244,-0.0063161500861577125,3.989375191087008e-05,3.989375191087008e-05,0.013556518526710026,0.014811496096988208,0.014847633544170439,18.883871216264854,-0.867712587990675,0.1192733648096024,0.007772040005324499,0.023560660138113754,-0.010385936057912382,2.707383296845538,-0.003330019139788032
2004-07-02,-0.00846849889016088,0.005489777750850244,3.0137659753730366e-05,0.0,0.012767241558431341,0.014851052602472733,0.014890936386828316,18.92935204883894,-0.7637143211539427,0.1039179357157275,-0.031457397907173945,0.019549464182969878,-0.0022477485151020105,2.7206372889831454,0.013253992137607362
2004-07-09,-0.010239764110452576,-0.00846849889016088,7.171547345265607e-05,7.171547345265607e-05,0.008444413717925477,0.015010030275919751,0.014894524674748257,19.18065912794414,0.2381624187166433,0.1624313905375491,0.022123635221812155,-0.011482917508575774,-0.01029125328829572,2.7133693575205298,-0.007267931462615618
2004-07-16,-0.009171363937950261,-0.010239764110452576,0.00010485276903771264,0.00010485276903771264,0.009755522632543694,0.011639453078000184,0.014925770129201944,18.765985289218737,-1.325007843592294,0.19215926266182304,0.040081937755263475,0.022835473141150864,-0.006271792651261876,2.7587432984957503,0.04537394097522052
2004-07-23,-0.015933214695190934,-0.009171363937950261,8.411391648233452e-05,8.411391648233452e-05,0.0064402385781701455,0.011650908208609116,0.014950408558699526,19.09264208101353,-0.09677122819029525,0.17510556906199912,0.03177218191143227,-0.0022110164755657635,-0.003208054804646032,2.663052845812192,-0.09569045268355847
2004-07-30,0.01710699956253592,-0.015933214695190934,0.00025386733052304834,0.00025386733052304834,0.007920790746113144,0.012832531742484098,0.01526638369865977,19.393734722709404,0.980727854905562,0.3090045390785081,0.011089773478335285,-0.04040194692561094,0.02403746944876506,2.803360380906535,0.14030753509434302
2004-08-06,-0.036662244778073116,0.01710699956253592,0.0002926494340326041,0.0,0.012889516315418698,0.013973607724848477,0.015796484872122065,19.378568977563305,0.8462292845522411,0.3315091710217476,0.048892913704666086,0.001279590705625111,0.007811633780268501,2.729159144392355,-0.07420123651417976
2004-08-13,0.0031774344834918367,-0.036662244778073116,0.0013441201921673494,0.0013441201921673494,0.019214647346663536,0.015300157886668378,0.017193582851706846,19.318710148117642,0.5604235428442922,0.7082672802469342,0.0034188415267539796,0.022256831548088662,-0.01794573145459477,2.9621754979149046,0.23301635352254957
